集体智慧编程,9.0,1311,59.8,TOBYSEGARAN,电子工业出版社,https://www.douban.com/accounts/login?source=book
机器学习,8.7,1100,88.0,周志华,清华大学出版社,https://book.douban.com/subject/26708119/
大数据时代,7.5,13614,49.9,[英]维克托?迈尔?舍恩伯格（ViktorMayer-Sch?nberger）,浙江人民出版社,https://book.douban.com/subject/20429677/
深入浅出数据分析,7.5,1261,88.0,MichaelMilton,电子工业出版社,https://book.douban.com/subject/5257905/
统计学习方法,8.9,1189,38.0,李航,清华大学出版社,https://book.douban.com/subject/10590856/
R语言实战,8.8,580,79.0,卡巴科弗(RobertI.Kabacoff),人民邮电出版社,https://book.douban.com/subject/20382244/
推荐系统实践,8.1,1292,49.0,项亮,人民邮电出版社,https://book.douban.com/subject/10769749/
利用Python进行数据分析,8.5,681,89.0,WesMcKinney,机械工业出版社,https://book.douban.com/subject/25779298/
大数据,7.5,3021,49.9,涂子沛,广西师范大学出版社,https://book.douban.com/subject/10799984/
数据挖掘导论,8.2,383,69.0,Pang-NingTan、MichaelSteinbach、VipinKumar,人民邮电出版社,https://book.douban.com/subject/5377669/
数据科学实战,8.3,104,79.0,[美]RachelSchutt、[美]CathyO&#39;Neil,人民邮电出版社,https://book.douban.com/subject/26320485/
Python网络数据采集,7.7,244,59.0,米切尔(RyanMitchell),人民邮电出版社,https://book.douban.com/subject/26740503/
机器学习实战,8.2,755,69.0,PeterHarrington,人民邮电出版社,https://book.douban.com/subject/24703171/
计算广告,8.7,520,69.0,刘鹏、王超,人民邮电出版社,https://book.douban.com/subject/26596778/
IBMSPSS数据分析与挖掘实战案例精粹,9.0,70,64.0,张文彤、钟云飞,清华大学出版社,https://book.douban.com/subject/21477429/
大数据,7.8,369,59.0,AnandRajaraman、JeffreyDavidUllman,人民邮电出版社,https://www.douban.com/accounts/login?source=book
机器学习,8.4,724,35.0,(美)TomMitchell,机械工业出版社,https://book.douban.com/subject/1102235/
数据可视化之美,7.6,272,89.0,JulieSteele、NoahIliinsky,机械工业出版社,https://book.douban.com/subject/6439420/
推荐系统,7.9,153,59.0,[奥地利]DietmarJannach、MarkusZanker、AlexanderFelfernig、GerhardFriedrich,人民邮电出版社,https://book.douban.com/subject/24746415/
数据挖掘与数据化运营实战,7.3,232,59.0,卢辉,机械工业出版社,https://book.douban.com/subject/24738300/
啤酒与尿布,7.4,235,38.0,高勇,清华大学出版社,https://book.douban.com/subject/3283973/
信息检索导论,9.1,225,69.0,ChristopherD.Manning、HinrichSchütze、PrabhakarRaghavan,人民邮电出版社,https://book.douban.com/subject/5252170/
数据可视化,8.7,58,128.0,陈为、沈则潜,电子工业出版社,https://book.douban.com/subject/25760272/
数据之美,7.1,272,75.0,TobySegaran、JeffHammerbacher,机械工业出版社,https://book.douban.com/subject/5269219/
社交网站的数据挖掘与分析,6.9,235,59.0,MatthewA.Russell,机械工业出版社,https://book.douban.com/subject/10344930/
R语言编程艺术,8.6,204,69.0,（美）NormanMatloff,机械工业出版社,https://book.douban.com/subject/24699632/
Python数据挖掘入门与实践,7.6,26,59.0,[澳]RobertLayton,人民邮电出版社,https://book.douban.com/subject/26826540/
数据之魅,7.7,65,89.0,（美）PhilippK.Janert,清华大学出版社,https://book.douban.com/subject/10831897/
机器学习系统设计,7.6,79,49.0,[德]WilliRichert、LuisPedroCoelho,人民邮电出版社,https://book.douban.com/subject/25899625/
贝叶斯方法,8.1,19,59.0,[加]CameronDavidson-Pilon,人民邮电出版社,https://book.douban.com/subject/26929874/
机器学习,7.6,106,69.0,（美）DrewConway、JohnMylesWhite,机械工业出版社,https://book.douban.com/subject/24251326/
精通WebAnalytics2.0,8.5,310,48.0,[美]AvinashKaushik,清华大学出版社,https://www.douban.com/accounts/login?source=book
模式分类,8.8,330,59.0,RichardO.Duda、PeterE.Hart、DavidG.Stork,机械工业出版社,https://book.douban.com/subject/1138189/
智能Web算法,7.4,211,65.0,HaralambosMarmanis、DmitryBabenko,电子工业出版社,https://book.douban.com/subject/6545083/
这就是搜索引擎,8.0,430,45.0,张俊林,电子工业出版社,https://book.douban.com/subject/7006719/
数据挖掘与R语言,7.6,99,49.0,(葡)LuisTorgo,机械工业出版社,https://book.douban.com/subject/24153573/
Python自然语言处理,8.2,157,64.0,(英)伯德、(英)克莱因、(美)洛普,东南大学出版社,https://book.douban.com/subject/5336893/
Python数据分析与挖掘实战,7.7,63,69.0,张良均、王路、谭立云、苏剑林,机械工业出版社,https://book.douban.com/subject/26677686/
大数据时代的R语言数据挖掘：R语言实战,8.3,33,56.0,黄文、王正林,电子工业出版社,https://book.douban.com/subject/25901568/
金融数据分析导论：基于R语言,8.4,60,69.0,（美）RueyS.Tsay,机械工业出版社,https://book.douban.com/subject/25735039/
删除,6.9,548,49.9,[英]维克托?迈尔-舍恩伯格（ViktorMayer-Sch?nberger）著,浙江人民出版社,https://book.douban.com/subject/20429704/
可视化数据,7.6,115,65.0,BenFry,电子工业出版社,https://book.douban.com/subject/3661214/
分类数据分析的统计方法,9.0,44,39.0,[美]丹尼尔?A.鲍威斯、谢宇,社会科学文献出版社,https://book.douban.com/subject/3852284/
标签,7.1,65,59.0,GeneSmith,机械工业出版社,https://book.douban.com/subject/10794787/
图解机器学习,6.4,98,49.0,杉山将,人民邮电出版社,https://book.douban.com/subject/26363531/
流量的秘密,7.6,223,45.0,(英)BrianClifton,人民邮电出版社,https://www.douban.com/accounts/login?source=book
贝叶斯思维,7.2,60,49.0,[美]AllenB.Downey（艾伦·唐尼）,人民邮电出版社,https://book.douban.com/subject/26340992/
商务与经济统计,9.3,105,108.0,安德森(AndersonDR.)、斯威尼(SweeneyDJ.)、威廉斯(WilliamsTA.),机械工业出版社,https://book.douban.com/subject/10557289/
深入搜索引擎,8.1,89,79.0,ianH.Witten、AlistairMoffat、TimothyC.Bell,电子工业出版社,https://book.douban.com/subject/3729518/
超级数字天才,7.2,92,35.0,伊恩·艾瑞斯,中国青年出版社,https://book.douban.com/subject/3187204/
写给程序员的数据挖掘实践指南,7.6,49,59.0,[美]RonZacharski,人民邮电出版社,https://book.douban.com/subject/26652166/
数据科学入门,6.9,38,69.0,[美]JoelGrus,人民邮电出版社,https://book.douban.com/subject/26741078/
谁说菜鸟不会数据分析（工具篇）,7.1,169,49.0,张文霖，狄松，林凤琼等,电子工业出版社,https://book.douban.com/subject/24715620/
信用风险评分卡研究,8.4,37,58.0,马杜姆.雷法特,社会科学文献出版社,https://book.douban.com/subject/25812550/
R和Ruby数据分析之旅,8.6,65,45.0,（新加坡）SauSheongChang,人民邮电出版社,https://book.douban.com/subject/21372236/
数据挖掘技术,8.1,43,79.8,GordonS.Linoff、MichaelJ.A.Berry,清华大学出版社,https://book.douban.com/subject/22226818/
机器学习与R语言,8.4,32,69.0,BrettLantz,机械工业出版社,https://book.douban.com/subject/26409413/
深入解析SAS,8.8,21,99.0,徐唯、潘红莲、林建伟,机械工业出版社,https://book.douban.com/subject/26318340/
大数据日知录,8.1,186,69.0,张俊林,电子工业出版社,https://book.douban.com/subject/25984046/
